person_id,name,primary_name
i-266bJc5RtSGNFxNkBXfTw6,Carl Isak Bengtsson,true
i-26JwMpJPh7ufEnA9hhtP9j,Niklas Wykman,true
i-26oFBmKgnHnJoK4Ecs2YVP,William Nils Erich Petzäll,false
i-26oFBmKgnHnJoK4Ecs2YVP,William Petzäll,true
i-27GnXLYmnvWWQ74zqN8XG1,Berglöf,false
i-27GnXLYmnvWWQ74zqN8XG1,Elof Berglöf,true
i-27GnXLYmnvWWQ74zqN8XG1,Per Elof Berglöf,false
i-27g3f2ySACnQtgfDwBTkDs,John Johansson,true
i-27oyAJvfzbLeTfsxMsKC4D,Harald Hjalmarsson,true
i-28QtNdtNvYW5KVgFHRDL4R,Lage Artur Svedberg,false
i-28QtNdtNvYW5KVgFHRDL4R,Lage Svedberg,true
i-28QtNdtNvYW5KVgFHRDL4R,Svedberg,false
i-29DwTeTswrc6CZ69NFKoDy,Englander,false
i-29DwTeTswrc6CZ69NFKoDy,Johannes Englander,true
i-29DwTeTswrc6CZ69NFKoDy,Johannes Magnusson Englander,false
i-29sSodYVXoni9iia1vszCy,Göran Pettersson,true
i-2ASB6DoU1XW9sV8ZGbcxey,Ivar Månsson,true
i-2ASB6DoU1XW9sV8ZGbcxey,Månsson,false
i-2B9CQsorTkxsV4aDV5kmNj,Muharrem Daniel Demirok,false
i-2B9CQsorTkxsV4aDV5kmNj,Muharrem Demirok,true
i-2BYSzJNcUPXMLvmLd6pE34,Ann-Cathrine Haglund,true
i-2BYSzJNcUPXMLvmLd6pE34,Haglund,false
i-2Bind9dyirGQ1UMwS9XjsT,Lennart Axelsson,true
i-2BomLucSUhUFGdLZdLWiCx,John Rignell,true
i-2BqYDfJGsEe55GwNK7mUNB,Farup,false
i-2BqYDfJGsEe55GwNK7mUNB,William Farup,true
i-2CQ7wMBad8ihMEVBdBSjzx,Nygårds,false
i-2CQ7wMBad8ihMEVBdBSjzx,Sven-Åke Nygårds,true
i-2CptAnTqxXA4LBXL7vK9gC,Bertil Persson,true
i-2CptAnTqxXA4LBXL7vK9gC,Persson,false
i-2D69hJC4BuUkfdTDfQDfwZ,Ulla Birgitta Bouvin,false
i-2D69hJC4BuUkfdTDfQDfwZ,Ulla Bouvin,true
i-2D6mwMLvYjVnxu8WpPCAeL,Lorentz Andreas Tovatt,false
i-2D6mwMLvYjVnxu8WpPCAeL,Lorentz Tovatt,true
i-2DoVBtekXdY2ysRmE7Ujm9,Tina Ghasemi,true
i-2DoVBtekXdY2ysRmE7Ujm9,Tina Ghasemi Liljekvist,false
i-2DwRqPaUX1EqrTDhVYFKdv,Ernst Leonard Åqvist,false
i-2DwRqPaUX1EqrTDhVYFKdv,Ernst Åqvist,true
i-2DwRqPaUX1EqrTDhVYFKdv,Åqvist,false
i-2E2N5MpZ8PjBpuMWc4jqhz,Johansson,false
i-2E2N5MpZ8PjBpuMWc4jqhz,Rune B. Johansson,true
i-2E2N5MpZ8PjBpuMWc4jqhz,Rune Bernhard Johansson,false
i-2EZPhWWR7yHztg3zN2aNvh,Peter Rådberg,true
i-2EsjZToCZr14goS1NGyN4G,Erik Jonsson,true
i-2EsjZToCZr14goS1NGyN4G,Jonsson,false
i-2FMdJQN5sEzW3N7zpocbuh,Hagström,false
i-2FMdJQN5sEzW3N7zpocbuh,Leon. Hagström,false
i-2FMdJQN5sEzW3N7zpocbuh,Leonard Hagström,true
i-2FNaYK7iohKDXNcVkZh5pS,Alfred Nilsson,true
i-2FNaYK7iohKDXNcVkZh5pS,Nilsson,false
i-2FVUSVT1SC2fewMNdrmgeb,Olle Schmidt,true
i-2FVUSVT1SC2fewMNdrmgeb,Schmidt,false
i-2FqhRcXF9QRfniBHKAFxU8,Anders Larsson,true
i-2G8XQvkqyYrG9q5CFVbCTE,Carl Mauritz Ekström,true
i-2G8XQvkqyYrG9q5CFVbCTE,Ekström,false
i-2G8XQvkqyYrG9q5CFVbCTE,Mauritz Ekström,false
i-2GE534P2Foy3WpqKPVNeW8,Mats Olof Pertoft,false
i-2GE534P2Foy3WpqKPVNeW8,Mats Pertoft,true
i-2GWsAAFBR2Sx71W8taeQ93,Maria Östberg Svanelind,true
i-2GrQUZVdfkSwaKMdaXRCZ6,Bergqvist,false
i-2GrQUZVdfkSwaKMdaXRCZ6,Holger Bergqvist,true
i-2Gu4ZGJPSHe5VzhGSDaUPk,Inger Jarl Beck,true
i-2H8FgkqFXcNpmFeBm6LxiU,Gunnel Olsson,true
i-2H8FgkqFXcNpmFeBm6LxiU,Olsson,false
i-2HFQhchqUWZTJKFYz4PjBu,Carita Boulwén,true
i-2HFQhchqUWZTJKFYz4PjBu,Carita Veronica Boulwén,false
i-2HyRdnwNjJfPPeCiQ2cg17,Malmborg,false
i-2HyRdnwNjJfPPeCiQ2cg17,Oscar Johan Natanael Malmborg,false
i-2HyRdnwNjJfPPeCiQ2cg17,Oscar Malmborg,true
i-2J2wE3W8hwNZbGpwcXgC4m,Lars Larsson,true
i-2J3r8zwqpPMPgVzdyt5mXb,Katarina Köhler,true
i-2JVaywB5mzNwVBk8D4UMn2,Daniel Andersson,true
i-2JdXPhk44YiYbhvGr8jwcF,Engman,false
i-2JdXPhk44YiYbhvGr8jwcF,Frans Linus Engman,false
i-2JdXPhk44YiYbhvGr8jwcF,Linus Engman,true
i-2Jx7WEDYHWuMCtxq8yapD7,Anton Björklund,true
i-2Jx7WEDYHWuMCtxq8yapD7,Björklund,false
i-2Jx7WEDYHWuMCtxq8yapD7,Lars Anton Björklund,false
i-2KQokBVhondPT8e9ZQdmem,Carl Axel Mannerskantz,true
i-2KQokBVhondPT8e9ZQdmem,Karl Axel Mannerskantz,false
i-2KQokBVhondPT8e9ZQdmem,Mannerskantz,false
i-2KdtfKFSqL1vq17VFAo5fa,Dag Larsson,true
i-2LoJA2RMbCfHmNjNagYNhW,Anders Svenson,true
i-2LoJA2RMbCfHmNjNagYNhW,Svenson,false
i-2LyiizD6VQaXk9cXFoZXaj,Erik W. Ljung,true
i-2LyiizD6VQaXk9cXFoZXaj,Erik Walfrid Ljung,false
i-2LyiizD6VQaXk9cXFoZXaj,Ljung,false
i-2M1688NA1hxdZmbJwUTnhY,Carl Sjögren,true
i-2M1688NA1hxdZmbJwUTnhY,Carl Vilhelm Peter Sjögren,false
i-2M1688NA1hxdZmbJwUTnhY,Karl Vilhelm Peter Sjögren,false
i-2M1688NA1hxdZmbJwUTnhY,Sjögren,false
i-2M2tbSjScCzwN2eeHLnCLG,Lasson,false
i-2M2tbSjScCzwN2eeHLnCLG,Ola Lasson,true
i-2Mf7WKdcHrqFKbwM3gXcPT,Jonsson,false
i-2Mf7WKdcHrqFKbwM3gXcPT,Rune Jonsson,true
i-2Mf7WKdcHrqFKbwM3gXcPT,Sven Alla Jonsson,false
i-2Mga29XFzf3fN7ZpqSSPDr,Algot Emanuel Jungnell,false
i-2Mga29XFzf3fN7ZpqSSPDr,Algot Emmanuel Jungnell,false
i-2Mga29XFzf3fN7ZpqSSPDr,Algot Jungnell,true
i-2Mga29XFzf3fN7ZpqSSPDr,Jungnell,false
i-2Nvz3MaNEG9Cs55xRuCwqF,Carl Johan Svensén,true
i-2Nvz3MaNEG9Cs55xRuCwqF,Svensén,false
i-2P8oL3AnBaUaam6G5cEkGw,Axel Ekstedt,true
i-2P8oL3AnBaUaam6G5cEkGw,Carl Axel Ekstedt,false
i-2P8oL3AnBaUaam6G5cEkGw,Ekstedt,false
i-2Q6Ao9UE6LSjxfzcJcXMob,Göran Reinhold Sääf 1819,false
i-2Q6Ao9UE6LSjxfzcJcXMob,Jöran Sääf,true
i-2Q6Ao9UE6LSjxfzcJcXMob,Sääf,false
i-2Q6ifMRXgcSC8YnnwWXxS7,Ulf Grape,true
i-2Q6ifMRXgcSC8YnnwWXxS7,Ulf Stefan Grape,false
i-2QMwPRu9aRvrGSP6ufskE5,Carl von Mühlenfels,true
i-2QMwPRu9aRvrGSP6ufskE5,Fredrik Carl Mühlenfels,false
i-2QMwPRu9aRvrGSP6ufskE5,von Mühlenfels,false
i-2QUfvPky9KMrG7dAcNtDxu,Ulf Dinkelspiel,true
i-2QcpwTvuvuHLaCWaSG33nF,Lars Mallmin,true
i-2QcpwTvuvuHLaCWaSG33nF,Lars Petter Mallmin,false
i-2QcpwTvuvuHLaCWaSG33nF,Mallmin,false
i-2QkCpqzzWZjou1ViWLScYu,Carl Axel Johan Wennérus,false
i-2QkCpqzzWZjou1ViWLScYu,Carl Wennérus,true
i-2QkCpqzzWZjou1ViWLScYu,Wennérus,false
i-2R36DMEY5uNMYenbPZFmEF,Arne Lindberg,true
i-2R36DMEY5uNMYenbPZFmEF,Lindberg,false
i-2RK26QMWgXmGhHao3peKAf,Arvid Hellberg,true
i-2RK26QMWgXmGhHao3peKAf,Hellberg,false
i-2RabH8oTzH5HLTzVwyNhTn,Ahlqvist,false
i-2RabH8oTzH5HLTzVwyNhTn,Johnny Ahlqvist,true
