person_id,start,end,government,role
i-4yKLYX6bdK5Z7rBVKCN1RT,1876-03-20,1880-04-19,Regeringen De Geer d.ä. III,utrikesminister
i-M6HZSzErrkvRs1tuZi7K48,1876-03-20,1880-04-19,Regeringen De Geer d.ä. III,justitieminister
i-M6HZSzErrkvRs1tuZi7K48,1876-03-20,1880-04-19,Regeringen De Geer d.ä. III,statsminister
i-8pJuJ7cpFV75dB4vcHCzJA,1877-09-11,1880-04-19,Regeringen De Geer d.ä. III,lantförsvarsminister
i-FjD659tSC5Hi56fXrfmgbW,1878-07-04,1880-04-19,Regeringen De Geer d.ä. III,konsultativt statsråd
i-7v9HeYwTVq3hfeF6K7hYnB,1878-11-01,1880-08-27,Regeringen De Geer d.ä. III,ecklesiastikminister
i-7v9HeYwTVq3hfeF6K7hYnB,1878-11-01,1880-08-27,Regeringen Posse,ecklesiastikminister
i-wVG4QF5ZkrTTo5uHxD7ED,1879-06-06,1880-04-19,Regeringen De Geer d.ä. III,justitieminister
i-A6gx9dK7mRxJPJ5JedE7Z,1880-04-19,1892-12-16,Regeringen Gillis Bildt,sjöförsvarsminister
i-7wzFxMMpK5jPhoUdPZ1umN,1880-04-19,1882-06-16,Regeringen Posse,lantförsvarsminister
i-A6gx9dK7mRxJPJ5JedE7Z,1880-04-19,1892-12-16,Regeringen Posse,sjöförsvarsminister
i-FjD659tSC5Hi56fXrfmgbW,1880-04-19,1888-02-06,Regeringen Posse,justitieminister
i-KaBa73f9cDZ3KHsxdHYgui,1880-04-19,1883-06-13,Regeringen Posse,civilminister
i-RBwA6WtbjeTp4EH9rQG3me,1880-04-19,1880-08-27,Regeringen Posse,konsultativt statsråd
i-A6gx9dK7mRxJPJ5JedE7Z,1880-04-19,1892-12-16,Regeringen Themptander,sjöförsvarsminister
i-FjD659tSC5Hi56fXrfmgbW,1880-04-19,1888-02-06,Regeringen Themptander,justitieminister
i-A6gx9dK7mRxJPJ5JedE7Z,1880-04-19,1892-12-16,Regeringen Thyselius,sjöförsvarsminister
i-FjD659tSC5Hi56fXrfmgbW,1880-04-19,1888-02-06,Regeringen Thyselius,justitieminister
i-A6gx9dK7mRxJPJ5JedE7Z,1880-04-19,1892-12-16,Regeringen Åkerhielm,sjöförsvarsminister
i-QUa4DaEpHiH6GESrfLsxWi,1880-04-27,1885-09-25,Regeringen Posse,utrikesminister
i-QUa4DaEpHiH6GESrfLsxWi,1880-04-27,1885-09-25,Regeringen Thyselius,utrikesminister
i-RBwA6WtbjeTp4EH9rQG3me,1880-08-27,1888-02-06,Regeringen Posse,ecklesiastikminister
i-RBwA6WtbjeTp4EH9rQG3me,1880-08-27,1888-02-06,Regeringen Themptander,ecklesiastikminister
i-RBwA6WtbjeTp4EH9rQG3me,1880-08-27,1888-02-06,Regeringen Thyselius,ecklesiastikminister
i-6ETHRvdQXy7JyB6UH2jtzU,1880-12-07,1881-03-08,Regeringen Posse,finansminister
i-WvZ8kwXQvoFrcSjSJt2YfH,1880-12-07,1881-03-08,Regeringen Posse,konsultativt statsråd
i-WvZ8kwXQvoFrcSjSJt2YfH,1881-03-08,1886-05-28,Regeringen Posse,finansminister
i-WvZ8kwXQvoFrcSjSJt2YfH,1881-03-08,1886-05-28,Regeringen Themptander,finansminister
i-WvZ8kwXQvoFrcSjSJt2YfH,1881-03-08,1886-05-28,Regeringen Thyselius,finansminister
i-GZ8zgKrERmYzyqE3k77bWB,1882-06-16,,Regeringen Posse,lantförsvarsminister
i-8zp4he8AQrCEaqtn8kZcTc,1883-10-05,1883-11-30,Regeringen Thyselius,konsultativt statsråd
i-DZAnqjUMmj8qFZsvGfjxRv,1883-10-05,1883-11-30,Regeringen Thyselius,civilminister
i-8zp4he8AQrCEaqtn8kZcTc,1883-11-30,1889-10-12,Regeringen Gillis Bildt,civilminister
i-8zp4he8AQrCEaqtn8kZcTc,1883-11-30,1889-10-12,Regeringen Themptander,civilminister
i-8zp4he8AQrCEaqtn8kZcTc,1883-11-30,1889-10-12,Regeringen Thyselius,civilminister
i-8ixgVUJPYkLqwsarvdNvuT,1884-05-10,1886-05-28,Regeringen Themptander,konsultativt statsråd
i-9NyAqYQHXK6ctRb6HgHd9R,1885-09-25,1889-06-12,Regeringen Gillis Bildt,utrikesminister
i-9NyAqYQHXK6ctRb6HgHd9R,1885-09-25,1889-06-12,Regeringen Themptander,utrikesminister
i-8ixgVUJPYkLqwsarvdNvuT,1886-05-28,1888-02-06,Regeringen Themptander,finansminister
i-A9Ayvp3K9sd8Pmw311ondn,1887-10-04,1888-02-06,Regeringen Themptander,lantförsvarsminister
i-3stc3EB4Ftxe7oRQtxvBCm,1888-02-06,1892-06-22,Regeringen Boström I,lantförsvarsminister
i-RQ7DisaShnLmZ3DuVbxYXg,1888-02-06,1894-11-06,Regeringen Boström I,finansminister
i-U1NfXLExmstEEYumsy2WHu,1888-02-06,1891-11-06,Regeringen Boström I,ecklesiastikminister
i-3DKytmgpnLCJYb8hSjHGUm,1888-02-06,1888-09-28,Regeringen Gillis Bildt,justitieminister
i-3stc3EB4Ftxe7oRQtxvBCm,1888-02-06,1892-06-22,Regeringen Gillis Bildt,lantförsvarsminister
i-RQ7DisaShnLmZ3DuVbxYXg,1888-02-06,1894-11-06,Regeringen Gillis Bildt,finansminister
i-U1NfXLExmstEEYumsy2WHu,1888-02-06,1891-11-06,Regeringen Gillis Bildt,ecklesiastikminister
i-3stc3EB4Ftxe7oRQtxvBCm,1888-02-06,1892-06-22,Regeringen Åkerhielm,lantförsvarsminister
i-RQ7DisaShnLmZ3DuVbxYXg,1888-02-06,1894-11-06,Regeringen Åkerhielm,finansminister
i-U1NfXLExmstEEYumsy2WHu,1888-02-06,1891-11-06,Regeringen Åkerhielm,ecklesiastikminister
i-UQb1WPSaU3ohorTovz3X3c,1888-09-28,1899-10-27,Regeringen Boström I,konsultativt statsråd
i-5D4sTKSYgW6eXVv6xbEvzg,1888-09-28,1889-05-30,Regeringen Gillis Bildt,justitieminister
i-UQb1WPSaU3ohorTovz3X3c,1888-09-28,1899-10-27,Regeringen Gillis Bildt,konsultativt statsråd
i-UQb1WPSaU3ohorTovz3X3c,1888-09-28,1899-10-27,Regeringen Åkerhielm,konsultativt statsråd
i-NDXVWxyp5eYLrWTjqaAcug,1889-06-12,1896-02-05,Regeringen Boström I,justitieminister
i-NDXVWxyp5eYLrWTjqaAcug,1889-06-12,,Regeringen Gillis Bildt,justitieminister
i-nScanqUU78nhbW9ef8XLW,1889-06-12,1889-10-12,Regeringen Gillis Bildt,utrikesminister
i-NDXVWxyp5eYLrWTjqaAcug,1889-06-12,1896-02-05,Regeringen Åkerhielm,justitieminister
i-KsVb2wzcFUY3B2xLene1iH,1889-10-12,1895-06-01,Regeringen Boström I,utrikesminister
i-Yb23sPR2Dq5DQnFXhF6X1t,1889-10-12,1896-10-06,Regeringen Boström I,civilminister
i-KsVb2wzcFUY3B2xLene1iH,1889-10-12,1895-06-01,Regeringen Åkerhielm,utrikesminister
i-E87PtNrvf5D9mPbn59wpkU,1891-11-06,1898-06-22,Regeringen Boström I,ecklesiastikminister
i-NRP8DZt1PRnZPoikaW4zCP,1892-06-22,1899-10-27,Regeringen Boström I,lantförsvarsminister
i-AkSRM5M7EY6VTfmFE8PNis,1892-12-16,1898-10-21,Regeringen Boström I,sjöförsvarsminister
i-Dupw3qwYSE3y5mdMHBzQvA,1894-11-06,1895-03-15,Regeringen Boström I,finansminister
i-TyWB8HEMuNKq7gySiAqigx,1894-11-06,1895-03-15,Regeringen Boström I,konsultativt statsråd
i-TyWB8HEMuNKq7gySiAqigx,1895-03-15,1897-07-16,Regeringen Boström I,finansminister
i-LYqwjq5hWGbUTHaggSN8k6,1895-06-01,1899-10-13,Regeringen Boström I,utrikesminister
i-S3hZXCn94TB7kyJYPX7Bg8,1896-02-05,,Regeringen Boström I,justitieminister
i-S3hZXCn94TB7kyJYPX7Bg8,1896-02-05,1901-12-05,Regeringen von Otter,justitieminister
i-8zp4he8AQrCEaqtn8kZcTc,1896-10-06,1902-07-05,Regeringen Boström I,civilminister
i-8zp4he8AQrCEaqtn8kZcTc,1896-10-06,1902-07-05,Regeringen von Otter,civilminister
i-QAuzjyYgj9k4CD5V1Xxezf,1897-07-16,1902-07-05,Regeringen Boström I,finansminister
i-QAuzjyYgj9k4CD5V1Xxezf,1897-07-16,1902-07-05,Regeringen von Otter,finansminister
i-2f68PZTku6uz8VKADy2Dk9,1898-06-22,1902-07-05,Regeringen Boström I,ecklesiastikminister
i-2f68PZTku6uz8VKADy2Dk9,1898-06-22,1902-07-05,Regeringen von Otter,ecklesiastikminister
i-W9oTRiM11WGZE2go5sHp8a,1898-10-31,1901-05-31,Regeringen Boström I,sjöförsvarsminister
i-W9oTRiM11WGZE2go5sHp8a,1898-10-31,1901-05-31,Regeringen von Otter,sjöförsvarsminister
i-5yeTU2BjQpqxaykhXKJ4cY,1899-10-27,,Regeringen Boström I,konsultativt statsråd
i-6CNHXhLwvWiPhsytBtn3ep,1899-10-27,1903-07-27,Regeringen Boström I,lantförsvarsminister
i-6CNHXhLwvWiPhsytBtn3ep,1899-10-27,1903-07-27,Regeringen Boström II,lantförsvarsminister
i-6CNHXhLwvWiPhsytBtn3ep,1899-10-27,1903-07-27,Regeringen von Otter,lantförsvarsminister
i-ux23Qd3bLvZ6XgUzeC2Dt,1899-12-20,1904-12-07,Regeringen Boström I,utrikesminister
i-ux23Qd3bLvZ6XgUzeC2Dt,1899-12-20,1904-12-07,Regeringen Boström II,utrikesminister
i-ux23Qd3bLvZ6XgUzeC2Dt,1899-12-20,1904-12-07,Regeringen von Otter,utrikesminister
i-2b1P9oc6jJ6GnNxViy4qgD,1900-03-31,1905-08-02,Regeringen Boström I,jordbruksminister
i-2b1P9oc6jJ6GnNxViy4qgD,1900-03-31,,Regeringen Boström I,landsbygdsminister
i-2b1P9oc6jJ6GnNxViy4qgD,1900-03-31,1905-08-02,Regeringen Boström II,jordbruksminister
i-2b1P9oc6jJ6GnNxViy4qgD,1900-03-31,1905-08-02,Regeringen Ramstedt,jordbruksminister
i-2b1P9oc6jJ6GnNxViy4qgD,1900-03-31,1905-08-02,Regeringen von Otter,jordbruksminister
i-GK6CLvWnX99yR9Nsn9EE9n,1901-05-31,1905-08-02,Regeringen Boström II,sjöförsvarsminister
i-GK6CLvWnX99yR9Nsn9EE9n,1901-05-31,1905-08-02,Regeringen Ramstedt,sjöförsvarsminister
i-GK6CLvWnX99yR9Nsn9EE9n,1901-05-31,1905-08-02,Regeringen von Otter,sjöförsvarsminister
i-A4jkDhz3Qhq16rRWcenUbw,1901-12-05,1902-07-05,Regeringen von Otter,justitieminister
i-TG4E2mMyEjAwsk5JKoM6iy,1901-12-06,1902-07-05,Regeringen von Otter,konsultativt statsråd
i-Ah2GaXbPFmZmazHpBVHvGy,1902-07-05,1905-04-13,Regeringen Boström II,konsultativt statsråd
i-LBM3Az1PKbJiuDyXhKPoS9,1902-07-05,1905-06-10,Regeringen Boström II,ecklesiastikminister
i-TG4E2mMyEjAwsk5JKoM6iy,1902-07-05,1905-08-02,Regeringen Boström II,civilminister
i-VghA3rHKAQACgNmukxWnwr,1902-07-05,1905-08-02,Regeringen Boström II,justitieminister
i-LBM3Az1PKbJiuDyXhKPoS9,1902-07-05,1905-06-10,Regeringen Ramstedt,ecklesiastikminister
i-TG4E2mMyEjAwsk5JKoM6iy,1902-07-05,1905-08-02,Regeringen Ramstedt,civilminister
i-VghA3rHKAQACgNmukxWnwr,1902-07-05,1905-08-02,Regeringen Ramstedt,justitieminister
i-J8WSevJg1d5gHa8FExjhwZ,1902-07-15,1905-08-02,Regeringen Boström II,finansminister
i-J8WSevJg1d5gHa8FExjhwZ,1902-07-15,1905-08-02,Regeringen Ramstedt,finansminister
i-GEsNTjAnEvX1K9NMtcUk9M,1903-07-27,1905-08-02,Regeringen Boström II,lantförsvarsminister
i-GEsNTjAnEvX1K9NMtcUk9M,1903-07-27,1905-08-02,Regeringen Ramstedt,lantförsvarsminister
i-PBNGhyBhmrTPJvpDckpqcL,1904,1905,Regeringen Boström II,utrikesminister
i-PBNGhyBhmrTPJvpDckpqcL,1904,1905,Regeringen Ramstedt,utrikesminister
i-Ah2GaXbPFmZmazHpBVHvGy,1904-12-07,1904-12-22,Regeringen Boström II,utrikesminister
i-KQCpp7fPS6JnGzNC3a24bc,1905-06-19,1905-08-02,Regeringen Ramstedt,ecklesiastikminister
i-4PfkDE1g8Bfv8WbXqpPSda,1905-08-02,1907-12-04,Regeringen Lindman I,lantförsvarsminister
i-4PfkDE1g8Bfv8WbXqpPSda,1905-08-02,1907-12-04,Regeringen Lundeberg,lantförsvarsminister
i-8dhXgrUShJSTmoPcB9FfMi,1905-08-02,1905-11-07,Regeringen Lundeberg,utrikesminister
i-A4jkDhz3Qhq16rRWcenUbw,1905-08-02,1905-11-07,Regeringen Lundeberg,ecklesiastikminister
i-DmdTkUnLmmD3GK3nb5iQQU,1905-08-02,1905-11-07,Regeringen Lundeberg,civilminister
i-Fnu186BGHvvTJDuB7t6zMb,1905-08-02,1905-11-07,Regeringen Lundeberg,sjöförsvarsminister
i-Nvqe2jaQsApDXYR71gisyr,1905-08-02,1905-11-07,Regeringen Lundeberg,konsultativt statsråd
i-SSfsoXw9GLxGZJpSxs9qgb,1905-08-02,1905-11-07,Regeringen Lundeberg,jordbruksminister
i-UX6px4kAE7e8He2TJTTzaX,1905-08-02,1906-05-29,Regeringen Lundeberg,finansminister
i-YSW8Kg6NVNWR81nXxwY7Pw,1905-08-02,1905-11-07,Regeringen Lundeberg,justitieminister
i-4PfkDE1g8Bfv8WbXqpPSda,1905-08-02,1907-12-04,Regeringen Staaff I,lantförsvarsminister
i-UX6px4kAE7e8He2TJTTzaX,1905-08-02,1906-05-29,Regeringen Staaff I,finansminister
i-Fy8CANAYhvFo9ryks64PAr,1905-11-07,1909-03-17,Regeringen Lindman I,utrikesminister
i-6Z6NDHqgCBHewDph5MhJjQ,1905-11-07,1906-05-29,Regeringen Staaff I,konsultativt statsråd
i-9xnJYWRw1BWmFV8LVCC5EH,1905-11-07,1906-05-29,Regeringen Staaff I,jordbruksminister
i-CzfH8kMvk6qeNsYUwvMSLp,1905-11-07,1906-05-29,Regeringen Staaff I,konsultativt statsråd
i-Fy8CANAYhvFo9ryks64PAr,1905-11-07,1909-03-17,Regeringen Staaff I,utrikesminister
i-H51hFF5ej5tCePg4YqjSsq,1905-11-07,1906-05-29,Regeringen Staaff I,civilminister
i-Hr1HTFqifdBa5H1eAGcaEu,1905-11-07,1906-05-29,Regeringen Staaff I,justitieminister
i-JRTixFAeMX5bnfubDTKRcE,1905-11-07,1906-05-29,Regeringen Staaff I,ecklesiastikminister
i-MhCtc1dC8HXHPj7JDZ8b9T,1905-11-07,1906-05-29,Regeringen Staaff I,sjöförsvarsminister
i-RgZqoibubx6FZYSzdaKsbX,1905-11-07,1906-05-29,Regeringen Staaff I,konsultativt statsråd
i-4sXFDUb8CLAhRngszG89cb,1906-05-29,1911-10-07,Regeringen Lindman I,finansminister
i-5a6sVJzD6Pd62temZreNbE,1906-05-29,1907-12-04,Regeringen Lindman I,civilminister
i-6gHW3sRTLihmBZzcGdCAcH,1906-05-29,1907-12-04,Regeringen Lindman I,sjöförsvarsminister
i-DmSPxYoCTsGsu2HBSaHRHb,1906-05-29,1909-06-11,Regeringen Lindman I,ecklesiastikminister
i-MuL8jneeFg979vuUzTGCyo,1906-05-29,1909-03-17,Regeringen Lindman I,konsultativt statsråd
i-Nvqe2jaQsApDXYR71gisyr,1906-05-29,1911-10-07,Regeringen Lindman I,justitieminister
i-SSfsoXw9GLxGZJpSxs9qgb,1906-05-29,1909-03-17,Regeringen Lindman I,landsbygdsminister
i-DPSKdaCf6QjiTxUvV2sFQN,1907,1911,Regeringen Lindman I,civilminister
i-Fnu186BGHvvTJDuB7t6zMb,1907-12-04,1907-12-30,Regeringen Lindman I,lantförsvarsminister
i-WgeuZqD3cfBZGqyxn6ZWnC,1907-12-04,1910-06-26,Regeringen Lindman I,sjöförsvarsminister
i-7wQbTHLS7SgLUavQDYjJ7s,1907-12-30,1911-10-07,Regeringen Lindman I,lantförsvarsminister
i-JqQ477oyJRAVfhSn2N97pv,1909-03-17,1909-06-11,Regeringen Lindman I,konsultativt statsråd
i-SbjuQ1LZxro5e1hAw5pNvg,1909-03-17,1911-10-07,Regeringen Lindman I,jordbruksminister
i-SbjuQ1LZxro5e1hAw5pNvg,1909-03-17,,Regeringen Lindman I,landsbygdsminister
i-5iRTYcLsGwX4CxRhWies3C,1909-04-30,1911-10-07,Regeringen Lindman I,utrikesminister
i-JqQ477oyJRAVfhSn2N97pv,1909-06-11,1911-10-07,Regeringen Lindman I,ecklesiastikminister
i-K2XFckptxyNzjX3oPCLewL,1909-06-11,,Regeringen Lindman I,konsultativt statsråd
i-CLb64zAX7yr86UaNA9TcfP,1910-06-26,1911-10-07,Regeringen Lindman I,sjöförsvarsminister
i-3asFRi1hxBaTgEJJqDe2MX,1911,1914,Regeringen Staaff II,konsultativt statsråd
i-24GU6a9CVTa4mzxPwJujea,1911-10-07,1914-02-17,Regeringen Staaff II,utrikesminister
i-6Z6NDHqgCBHewDph5MhJjQ,1911-10-07,1914-02-17,Regeringen Staaff II,lantförsvarsminister
i-JRTixFAeMX5bnfubDTKRcE,1911-10-07,1914-02-17,Regeringen Staaff II,ecklesiastikminister
i-KSYmHt2CfUPZ7TEuPagciq,1911-10-07,1914-02-17,Regeringen Staaff II,finansminister
i-P3CWVCc7s2SUP3VZ4nTWtN,1911-10-07,1914-02-17,Regeringen Staaff II,justitieminister
i-PBPTFYFgnRL4viQht1FnjJ,1911-10-07,1914-02-17,Regeringen Staaff II,sjöförsvarsminister
i-SSfsoXw9GLxGZJpSxs9qgb,1911-10-07,1914-02-17,Regeringen Staaff II,landsbygdsminister
i-H51hFF5ej5tCePg4YqjSsq,1911-11-07,1914-02-17,Regeringen Staaff II,civilminister
i-KgcqhjAQ4C31XVhk57y6bF,1914-02-06,1917-06-29,Regeringen Hammarskjöld,civilminister
i-KgcqhjAQ4C31XVhk57y6bF,1914-02-06,1917-06-29,Regeringen Swartz,civilminister
i-7yJee9UBmnMb8LPL7Gr9Xa,1914-02-16,1914-08-15,Regeringen Hammarskjöld,konsultativt statsråd
i-3DLisaaacX2hPraEjPVMsW,1914-02-17,1917-03-30,Regeringen Hammarskjöld,utrikesminister
i-A4jkDhz3Qhq16rRWcenUbw,1914-02-17,1914-08-15,Regeringen Hammarskjöld,lantförsvarsminister
i-Bfy54QTrq7uXd38Kx2mLGE,1914-02-17,1917-03-30,Regeringen Hammarskjöld,justitieminister
i-FSJ4kw3boEHgUkPEAcBMPU,1914-02-17,1917-03-30,Regeringen Hammarskjöld,jordbruksminister
i-JnuZjJswUM4d7eeyfhSVGt,1914-02-17,1917-03-30,Regeringen Hammarskjöld,ecklesiastikminister
i-TUo8XdDHL6Q5hUgyWW5MGk,1914-02-17,1917-03-30,Regeringen Hammarskjöld,sjöförsvarsminister
i-UKN14qkeNNkW3DNEKGfGbE,1914-02-17,1917-03-30,Regeringen Hammarskjöld,finansminister
i-UTrfAgi22ghfsPezLcB8vV,1914-02-17,1917-03-30,Regeringen Hammarskjöld,konsultativt statsråd
i-7yJee9UBmnMb8LPL7Gr9Xa,1914-08-15,1917-03-30,Regeringen Hammarskjöld,lantförsvarsminister
i-16Me1SDJCZ61jNn9EpVkzN,1917-03-30,1917-10-19,Regeringen Swartz,lantförsvarsminister
i-5SA2dnaUSjYimZq5qWdLVw,1917-03-30,1917-10-19,Regeringen Swartz,ecklesiastikminister
i-8Groy7FiiyHD8AQRgfCvJ5,1917-03-30,1917-10-19,Regeringen Swartz,sjöförsvarsminister
i-EucyipYZH7KqGXP6UuKNta,1917-03-30,1917-10-19,Regeringen Swartz,jordbruksminister
i-Fnu186BGHvvTJDuB7t6zMb,1917-03-30,1917-10-19,Regeringen Swartz,utrikesminister
i-MbGCSwUxxUWo13zB5PL2BC,1917-03-30,1917-10-19,Regeringen Swartz,finansminister
i-SQxGcy33CHFYpy2egM83wy,1917-03-30,1917-10-19,Regeringen Swartz,justitieminister
i-HMxgV8ZTFQ1zVbZX7KbgCT,1917-06-30,1917-10-19,Regeringen Swartz,civilminister
i-4KJMAUW9zFRD1g1ShqsMqw,1917-10-19,1920-03-10,Regeringen Edén,lantförsvarsminister
i-6dbbwLmze8R4p7yWmcezLY,1917-10-19,1920-03-10,Regeringen Edén,konsultativt statsråd
i-H51hFF5ej5tCePg4YqjSsq,1917-10-19,1919-11-28,Regeringen Edén,civilminister
i-JSniSV7GLnNo4eioo6Paqg,1917-10-19,1920-03-10,Regeringen Edén,justitieminister
i-NKRTEKkMqyNZNU9RaYZLPC,1917-10-19,1919-11-28,Regeringen Edén,ecklesiastikminister
i-PoEnkqgRthqgybjNd47ZwU,1917-10-19,1920-03-10,Regeringen Edén,sjöförsvarsminister
i-RgZqoibubx6FZYSzdaKsbX,1917-10-19,1920-03-10,Regeringen Edén,utrikesminister
i-SSfsoXw9GLxGZJpSxs9qgb,1917-10-19,1920-03-10,Regeringen Edén,landsbygdsminister
i-VM3kn4h4mTkLoFpEyrhy5t,1917-10-19,1918-01-05,Regeringen Edén,finansminister
i-LAeBbuwZ1Sak1HWNkZ6dVr,1918-01-05,1920-06-30,Regeringen Branting I,finansminister
i-LAeBbuwZ1Sak1HWNkZ6dVr,1918-01-05,1920-06-30,Regeringen Edén,finansminister
i-AwBs4Cp83TTbZr1ZyVyniN,1919-11-28,1920-10-27,Regeringen Branting I,ecklesiastikminister
i-AwBs4Cp83TTbZr1ZyVyniN,1919-11-28,1920-10-27,Regeringen Edén,ecklesiastikminister
i-VoohtvvcFjo1jpUaFmdn6o,1919-11-28,1920-03-10,Regeringen Edén,civilminister
i-4UEzXgg6g6fiqb4dQ2EDU3,1920-03-10,1920-07-01,Regeringen Branting I,sjöförsvarsminister
i-6dbbwLmze8R4p7yWmcezLY,1920-03-10,1920-06-30,Regeringen Branting I,justitieminister
i-GSesbg17NxtqyuzE1tagzM,1920-03-10,1920-07-01,Regeringen Branting I,civilminister
i-L7nvZ56RferP78KNpz2Uh1,1920-03-10,1920-07-01,Regeringen Branting I,lantförsvarsminister
i-PoEnkqgRthqgybjNd47ZwU,1920-03-10,1920-10-27,Regeringen Branting I,utrikesminister
i-REC84EGSoQoYhpdGE1JHN9,1920-03-10,1920-10-27,Regeringen Branting I,jordbruksminister
i-Trs3gMCufNPP2ADRtgrdza,1920-03-10,1920-10-27,Regeringen Branting I,konsultativt statsråd
i-9iqLBgdAYEoR244dkazyYj,1920-06-30,1920-10-27,Regeringen Branting I,finansminister
i-DcK6kBeQEhcbMEUN1K5dkG,1920-06-30,,Regeringen Branting I,konsultativt statsråd
i-MxQLDEEjaxnebBWnN9jCPh,1920-06-30,1920-10-27,Regeringen Branting I,justitieminister
i-4UEzXgg6g6fiqb4dQ2EDU3,1920-07-01,1920-10-27,Regeringen Branting I,socialminister
i-GSesbg17NxtqyuzE1tagzM,1920-07-01,,Regeringen Branting I,infrastrukturminister
i-GSesbg17NxtqyuzE1tagzM,1920-07-01,1920-10-27,Regeringen Branting I,kommunikationsminister
i-L7nvZ56RferP78KNpz2Uh1,1920-07-01,1920-10-27,Regeringen Branting I,försvarsminister
i-LAeBbuwZ1Sak1HWNkZ6dVr,1920-07-01,1920-10-27,Regeringen Branting I,handelsminister
i-639t38L2ieKHRjxBnvnvvE,1920-10-27,1921-02-23,Regeringen De Geer d.y.,finansminister
i-8NJMzX1yx8WpL8DS543hLE,1920-10-27,1921-10-13,Regeringen De Geer d.y.,jordbruksminister
i-9bDkAhuLUrj8UwYGXuiCfH,1920-10-27,1921-10-13,Regeringen De Geer d.y.,justitieminister
i-EucyipYZH7KqGXP6UuKNta,1920-10-27,1921-10-13,Regeringen De Geer d.y.,konsultativt statsråd
i-HMxgV8ZTFQ1zVbZX7KbgCT,1920-10-27,1921-10-13,Regeringen De Geer d.y.,kommunikationsminister
i-Mf2qLQoTkQawUnmp6o79wa,1920-10-27,1921-10-13,Regeringen De Geer d.y.,utrikesminister
i-NF7MCicvARd9vxeawxGy59,1920-10-27,1921-10-13,Regeringen De Geer d.y.,handelsminister
i-T8owFktXUZKmmAJA32jnUj,1920-10-27,1921-10-13,Regeringen De Geer d.y.,socialminister
i-TTvPdN45ray9bRz4GEiZ8A,1920-10-27,1921-10-13,Regeringen De Geer d.y.,ecklesiastikminister
i-8NJMzX1yx8WpL8DS543hLE,1920-10-27,1921-10-13,Regeringen von Sydow,jordbruksminister
i-9bDkAhuLUrj8UwYGXuiCfH,1920-10-27,1921-10-13,Regeringen von Sydow,justitieminister
i-EucyipYZH7KqGXP6UuKNta,1920-10-27,1921-10-13,Regeringen von Sydow,konsultativt statsråd
i-HMxgV8ZTFQ1zVbZX7KbgCT,1920-10-27,1921-10-13,Regeringen von Sydow,kommunikationsminister
i-Mf2qLQoTkQawUnmp6o79wa,1920-10-27,1921-10-13,Regeringen von Sydow,utrikesminister
i-NF7MCicvARd9vxeawxGy59,1920-10-27,1921-10-13,Regeringen von Sydow,handelsminister
i-T8owFktXUZKmmAJA32jnUj,1920-10-27,1921-10-13,Regeringen von Sydow,socialminister
i-TTvPdN45ray9bRz4GEiZ8A,1920-10-27,1921-10-13,Regeringen von Sydow,ecklesiastikminister
i-JN7m5YpvpuorpXu1JgSkf1,1921-02-23,1921-10-13,Regeringen von Sydow,finansminister
i-AwBs4Cp83TTbZr1ZyVyniN,1921-10-13,1923-04-19,Regeringen Branting II,ecklesiastikminister
i-CWWYqdnnUFLvQEhYk3V8Wo,1921-10-13,1923-04-19,Regeringen Branting II,jordbruksminister
i-G8JbJm9Qan4fa7Ax94MYT3,1921-10-13,1923-04-19,Regeringen Branting II,socialminister
i-GSesbg17NxtqyuzE1tagzM,1921-10-13,1923-04-19,Regeringen Branting II,handelsminister
i-L7nvZ56RferP78KNpz2Uh1,1921-10-13,1923-04-19,Regeringen Branting II,försvarsminister
i-LAeBbuwZ1Sak1HWNkZ6dVr,1921-10-13,1923-04-19,Regeringen Branting II,finansminister
i-MxQLDEEjaxnebBWnN9jCPh,1921-10-13,1923-04-19,Regeringen Branting II,justitieminister
i-NdmzAJFCHr1sfnsvdVwR4y,1921-10-13,1923-04-19,Regeringen Branting II,konsultativt statsråd
i-Trs3gMCufNPP2ADRtgrdza,1921-10-13,1923-04-19,Regeringen Branting II,konsultativt statsråd
i-VM3kn4h4mTkLoFpEyrhy5t,1921-10-13,1923-04-19,Regeringen Branting II,utrikesminister
i-NF7MCicvARd9vxeawxGy59,1923,1924,Regeringen Trygger,socialminister
i-8zen6gqoJKVpG7SVBDYFet,1923-04-19,1924-10-18,Regeringen Trygger,jordbruksminister
i-9bDkAhuLUrj8UwYGXuiCfH,1923-04-19,1924-10-18,Regeringen Trygger,justitieminister
i-AoCcPLPG5iPhwCGEcPTMbh,1923-04-19,1924-10-18,Regeringen Trygger,försvarsminister
i-C6h82v5qVtasAovgeXnC2a,1923-04-19,1923-11-11,Regeringen Trygger,utrikesminister
i-H1dwKmcmsWsYZ96ypzye6t,1923-04-19,1924-10-18,Regeringen Trygger,handelsminister
i-JN7m5YpvpuorpXu1JgSkf1,1923-04-19,1924-10-18,Regeringen Trygger,finansminister
i-JTwhXpmu1eVKQtUbjXVxkV,1923-04-19,1924-10-18,Regeringen Trygger,kommunikationsminister
i-U4dDzMjHHxyFXmmvH17Uz8,1923-04-19,1924-10-18,Regeringen Trygger,konsultativt statsråd
i-Wd3cJwboTfCJv1Ls7d8i6d,1923-04-19,1924-10-18,Regeringen Trygger,ecklesiastikminister
