person_id,start,end,party,party_id,swerik_party_id
i-PDvEfAmYAgGTBhkGvyY7F4,1971-01-11,1974-01-10,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-PDvEfAmYAgGTBhkGvyY7F4,1974-01-10,1976-10-04,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-PDvEfAmYAgGTBhkGvyY7F4,1976-10-04,1976-10-10,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-PDvEfAmYAgGTBhkGvyY7F4,1979-10-01,1979-10-11,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-PDvEfAmYAgGTBhkGvyY7F4,1982-10-04,1985-09-30,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-PDvEfAmYAgGTBhkGvyY7F4,1985-09-30,1986-01-09,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-PEJ1DBMnG7sGMU8qh8QjnF,1971-01-11,1974-01-10,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-PEJ1DBMnG7sGMU8qh8QjnF,1974-01-10,1976-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-PEJ1DBMnG7sGMU8qh8QjnF,1976-10-04,1979-10-01,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-PEJ1DBMnG7sGMU8qh8QjnF,1979-10-01,1982-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-PEJ1DBMnG7sGMU8qh8QjnF,1982-10-04,1985-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
