person_id,start,end,party,party_id,swerik_party_id
i-QQYotqFjTJA7EiQZc1Wmzs,2018-09-24,2019-03-11,Liberalerna,Q110857,i-Kpkv9BSujEEJp1S4rDiDt7
i-QQjz7bn6czWU6491kCicK9,1974-01-10,1976-10-04,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QQjz7bn6czWU6491kCicK9,1976-10-04,1978-03-31,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QQjz7bn6czWU6491kCicK9,1979-01-01,1979-10-01,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QQjz7bn6czWU6491kCicK9,1979-10-01,1979-10-15,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QRDnfz9zaiXo7A1SpAi1dM,1971-01-11,1974-01-10,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-QRDnfz9zaiXo7A1SpAi1dM,1974-01-10,1976-10-04,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-QRDnfz9zaiXo7A1SpAi1dM,1976-10-04,1979-10-01,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-QRDnfz9zaiXo7A1SpAi1dM,1979-10-01,1982-10-04,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-QRDnfz9zaiXo7A1SpAi1dM,1982-10-04,1985-09-30,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-QRDnfz9zaiXo7A1SpAi1dM,1985-09-30,1988-10-03,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-QRDnfz9zaiXo7A1SpAi1dM,1988-10-03,1990-11-11,Vänsterpartiet,Q110837,
i-QRDnfz9zaiXo7A1SpAi1dM,1990-12-12,1991-09-30,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-QRDnfz9zaiXo7A1SpAi1dM,1991-09-30,1991-11-10,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-QRDnfz9zaiXo7A1SpAi1dM,1991-12-11,1994-10-03,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-QRZBEezfjd3VoKpFXKhXzr,1976-10-11,1978-10-17,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QRZBEezfjd3VoKpFXKhXzr,1981-03-09,1981-04-12,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QRZvTse57zkDDpwtSCL8Ur,2012-09-01,2012-12-31,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QS3FCcuDyGgZdKgE3VDjZ9,2018-09-24,2022-09-26,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QS3FCcuDyGgZdKgE3VDjZ9,2022-09-26,2024-01-09,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QSBS4dqtsRDzm8fcNNRFaC,1971-01-11,1974-01-10,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSBS4dqtsRDzm8fcNNRFaC,1974-01-10,1974-01-10,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSBS4dqtsRDzm8fcNNRFaC,1976-10-04,1979-10-01,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSBS4dqtsRDzm8fcNNRFaC,1979-10-01,1982-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSBS4dqtsRDzm8fcNNRFaC,1982-10-04,1982-10-07,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSBS4dqtsRDzm8fcNNRFaC,1985-09-30,1985-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSBS4dqtsRDzm8fcNNRFaC,1988-10-03,1988-10-03,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSX9zrsXUKYskRHm3FRBJN,2017-03-02,2017-05-28,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSX9zrsXUKYskRHm3FRBJN,2017-05-29,2017-09-25,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSX9zrsXUKYskRHm3FRBJN,2017-09-25,2018-09-24,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSX9zrsXUKYskRHm3FRBJN,2018-09-24,2019-09-05,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSX9zrsXUKYskRHm3FRBJN,2019-09-05,2020-03-08,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSX9zrsXUKYskRHm3FRBJN,2020-03-09,2022-09-26,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QSX9zrsXUKYskRHm3FRBJN,2022-09-26,2022-10-18,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QUqUmVazVZYgkmCXgYjZgs,1971-01-11,1974-01-10,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QUqUmVazVZYgkmCXgYjZgs,1974-01-10,1976-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QVY3f2P1vscrB5Yu7JhzV,2014-09-30,2018-09-24,Sverigedemokraterna,Q504069,i-Cb6hYmJf4EDxesFRgErquJ
i-QVqqZAPY1emsYgUbz5v2SA,2010-10-04,2014-09-29,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QVqqZAPY1emsYgUbz5v2SA,2014-09-29,2018-09-24,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QW3U8q9gqCreU8hvXKjp44,1971-01-11,1974-01-10,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QW3U8q9gqCreU8hvXKjp44,1974-01-10,1976-10-04,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QWMYdK75NgjQLfjAqk7gK4,1971-01-11,1971-02-01,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-QXf2YRbFUcZE7jDnU6Y7tU,1971-01-11,1974-01-10,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QXf2YRbFUcZE7jDnU6Y7tU,1974-01-10,1976-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QXf2YRbFUcZE7jDnU6Y7tU,1976-10-04,1979-10-01,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QXf2YRbFUcZE7jDnU6Y7tU,1979-10-01,1982-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QXf2YRbFUcZE7jDnU6Y7tU,1982-10-04,1985-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QXf2YRbFUcZE7jDnU6Y7tU,1985-09-30,1988-10-03,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QXf2YRbFUcZE7jDnU6Y7tU,1988-10-03,1991-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QXiGidLhFr3yVPmDxRSa4h,1971-01-11,1974-01-10,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-QXiGidLhFr3yVPmDxRSa4h,1974-01-10,1976-10-04,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-QYJG6SVL3NC9SndTwjfJjZ,1974-01-10,1976-10-04,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QYJG6SVL3NC9SndTwjfJjZ,1976-10-04,1979-10-01,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QYJG6SVL3NC9SndTwjfJjZ,1979-10-01,1982-10-04,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-QYUn9LH1BFyUaLeMaR5S5h,2007-11-05,2010-10-04,Kristdemokraterna,Q213654,i-BRRSButj7zSqB1u7zD6hod
i-QYUn9LH1BFyUaLeMaR5S5h,2010-10-04,2013-02-21,Kristdemokraterna,Q213654,i-BRRSButj7zSqB1u7zD6hod
i-QYUrNyoHQyDH4vTwKcP6pk,1998-10-05,2002-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QYUrNyoHQyDH4vTwKcP6pk,2002-09-30,2006-10-02,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QZYU3D5NhXZ9WDSFcyngAo,1974-01-10,1976-10-04,Vänsterpartiet Kommunisterna,Q110837,i-2SVXJYpXaRHXxbWRcbRd5N
i-Qa1ZufD1xJDN43bJxjLRPB,1998-10-05,2002-09-30,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-Qa1ZufD1xJDN43bJxjLRPB,2002-09-30,2006-10-02,Vänsterpartiet,Q110837,i-CJb7bcc1eZcehvGarg8GpB
i-Qb23zCswrqkirumWyZ7ZKj,1976-10-04,1979-10-01,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-Qb23zCswrqkirumWyZ7ZKj,1979-10-01,1982-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-Qb23zCswrqkirumWyZ7ZKj,1982-10-04,1985-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-Qc7Lq2YYet5P7L5vhHiC2K,2010-01-11,2010-04-05,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-Qcof8uUB6fn43ayBzbj7o4,2006-10-02,2006-10-05,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-QcuhAzXJzRZwdpi69xfMhk,1973-01-10,1974-01-10,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QcuhAzXJzRZwdpi69xfMhk,1974-01-10,1976-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QcuhAzXJzRZwdpi69xfMhk,1976-10-04,1979-10-01,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QcuhAzXJzRZwdpi69xfMhk,1979-10-01,1982-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QcuhAzXJzRZwdpi69xfMhk,1982-10-04,1982-10-14,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QcuhAzXJzRZwdpi69xfMhk,1982-11-15,1985-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QcuhAzXJzRZwdpi69xfMhk,1985-09-30,1988-10-03,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QcuhAzXJzRZwdpi69xfMhk,1988-10-03,1988-10-03,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QeucVXKMkCG7pGT4k4R7mb,2018-09-24,2022-09-26,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-QhJNCjQN8CrzR8fmdsivU7,1985-09-30,1988-10-03,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
i-QhJNCjQN8CrzR8fmdsivU7,1988-10-03,1991-09-30,Liberalerna,Q110857,
i-QhJNCjQN8CrzR8fmdsivU7,1991-09-30,1994-06-30,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
