party_id,party,inception,dissolution,successor_id,swerik_party_id,swerik_successor
Q10499105,Friesenska diskussionsklubben,1897-01-01,1900-01-01,Q1594086,i-JyxgnWsKdPSp9CUq7kwP9M,i-JmAkiEUKt5ZBgaCKGCMNu2
Q10497448,Folkpartiet (1895–1900),1895-01-01,1900-01-01,Q1594086,i-Hg7NeuZ4rqH2NNJM9r6R7P,i-JmAkiEUKt5ZBgaCKGCMNu2
Q10604300,nya centern (partigrupp 1895-1896),1895-01-01,1896-01-01,Q19977599,i-CGGLhPcqNAjfLn7JVdrH8y,i-V62L2Jr6S4mFMoW86GFanQ
Q10432852,Bondeska diskussionsklubben,1897-01-01,1900-01-01,Q1594086,i-C71zJQxceCDJHmQjSb29sP,i-JmAkiEUKt5ZBgaCKGCMNu2
Q19977599,De moderata reformvännernas grupp,1903-01-01,1905-01-01,Q10594830,i-V62L2Jr6S4mFMoW86GFanQ,i-6DouUrv3WUqNo3ZV44MQo2
Q10594830,Nationella framstegspartiet,1906-01-01,1912-01-01,Q10554125,i-6DouUrv3WUqNo3ZV44MQo2,i-NhgK2ujGF5t35o2VjT8Q5U
Q10499214,Frisinnade försvarsvänner,1914-01-01,1914-12-31,,i-GM695yHGsRXSAorwcFL7x5,
Q10672903,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,Q105112|Q111285801,i-SwzbNNYoyZYULLDiTu2zGP,i-VS8ddgxigwL5TceKtXGApS|i-TQCUzfkvYhBFrXeQwXoENH
Q10540831,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,Q110472693,i-PvAXgvY3G8qXv1ZM9xudRA,i-CNbGLyuzdkRJ2sJBBpzJit
Q10560990,Liberala riksdagspartiet,1924-01-01,1935-01-01,Q110857,i-9fghptqkyNzTVdA8knRCGq,i-Kpkv9BSujEEJp1S4rDiDt7|i-FpGjUCojANuvvwqsNXjcuu
Q111188360,Kilbomspartiet,1924-01-01,1934-01-01,Q2425638,i-VzZnBZoi4EChaiCfF6kxbz,i-SeXPXWPfyJxdeuuFtkdhxh
Q2425638,Socialistiska partiet,1934-01-01,1944-01-01,,i-SeXPXWPfyJxdeuuFtkdhxh,
Q10579102,Medborgerlig samling (1964–1968),1964-01-01,1968-01-01,,i-ANbQF76SzeSESXQFvzPzFw,
Q110857,Folkpartiet,1934-01-01,1990-01-01,Q110857,i-FpGjUCojANuvvwqsNXjcuu,i-Hm85EQfFmbYuYFPjpXtuCj
