parliament_year,chamber,swerik_party_id,calendar_year,nr_seats_snapshot,nr_seats_gold,party,inception,dissolution,missing_party_mapping,diff,abs_diff
1916,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1916,5,0,Utan partibeteckning,1000-01-01,9999-12-31,false,5,5
1916,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1916,45,47,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-2,2
1916,fk,i-VS8ddgxigwL5TceKtXGApS,1916,13,14,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1917,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1917,6,0,Utan partibeteckning,1000-01-01,9999-12-31,false,6,6
1917,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1917,54,57,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-3,3
1917,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1917,82,86,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-4,4
1917,ak,i-PgZ4noUUgrkZvcF5NuPikj,1917,1,0,Lantmannapartiet,1867-03-10,1912-01-01,false,1,1
1917,ak,i-SwzbNNYoyZYULLDiTu2zGP,1917,14,0,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,14,14
1917,ak,i-VS8ddgxigwL5TceKtXGApS,1917,70,87,Socialdemokraterna,1889-01-01,9999-12-31,false,-17,17
1917,fk,i-3kDgsboJBSv4zGqF4zfCsY,1917,85,89,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-4,4
1917,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1917,3,0,Utan partibeteckning,1000-01-01,9999-12-31,false,3,3
1917,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1917,43,47,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-4,4
1917,fk,i-SwzbNNYoyZYULLDiTu2zGP,1917,1,0,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,1,1
1917,fk,i-VS8ddgxigwL5TceKtXGApS,1917,15,14,Socialdemokraterna,1889-01-01,9999-12-31,false,1,1
1918,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1918,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1918,ak,i-CJb7bcc1eZcehvGarg8GpB,1918,1,0,Vänsterpartiet,1990-01-01,9999-12-31,false,1,1
1918,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1918,9,0,Bondeförbundet,1913-01-01,1956-12-31,false,9,9
