year,chamber,party_id,nr_seats,artificial
1953,fk,i-CNbGLyuzdkRJ2sJBBpzJit,25
1953,fk,i-FpGjUCojANuvvwqsNXjcuu,22
1953,fk,i-VS8ddgxigwL5TceKtXGApS,79
1953,fk,i-TQCUzfkvYhBFrXeQwXoENH,4
1957,fk,i-4nyjRorziqEDtDmp1ZXDoP,13
1957,fk,i-UiFZiVNo3YgVfyN93Qigiv,25
1957,fk,i-FpGjUCojANuvvwqsNXjcuu,30
1957,fk,i-VS8ddgxigwL5TceKtXGApS,79
1957,fk,i-TQCUzfkvYhBFrXeQwXoENH,3
1958,fk,i-4nyjRorziqEDtDmp1ZXDoP,16
1958,fk,i-UiFZiVNo3YgVfyN93Qigiv,24
1958,fk,i-FpGjUCojANuvvwqsNXjcuu,29
1958,fk,i-VS8ddgxigwL5TceKtXGApS,79
1958,fk,i-TQCUzfkvYhBFrXeQwXoENH,3
1961,fk,i-4nyjRorziqEDtDmp1ZXDoP,19
1961,fk,i-UiFZiVNo3YgVfyN93Qigiv,20
1961,fk,i-FpGjUCojANuvvwqsNXjcuu,33
1961,fk,i-VS8ddgxigwL5TceKtXGApS,77
1961,fk,i-TQCUzfkvYhBFrXeQwXoENH,2
1965,fk,i-4nyjRorziqEDtDmp1ZXDoP,26
1965,fk,i-UiFZiVNo3YgVfyN93Qigiv,19
1965,fk,i-FpGjUCojANuvvwqsNXjcuu,26
1965,fk,i-VS8ddgxigwL5TceKtXGApS,78
1965,fk,i-TQCUzfkvYhBFrXeQwXoENH,2
1967,fk,i-4nyjRorziqEDtDmp1ZXDoP,26,1
1967,fk,i-UiFZiVNo3YgVfyN93Qigiv,19,1
1967,fk,i-FpGjUCojANuvvwqsNXjcuu,26,1
1967,fk,i-VS8ddgxigwL5TceKtXGApS,78,1
1967,fk,i-2SVXJYpXaRHXxbWRcbRd5N,2,1
1969,fk,i-4nyjRorziqEDtDmp1ZXDoP,24
1969,fk,i-UiFZiVNo3YgVfyN93Qigiv,21
1969,fk,i-FpGjUCojANuvvwqsNXjcuu,26
1969,fk,i-VS8ddgxigwL5TceKtXGApS,79
1969,fk,i-2SVXJYpXaRHXxbWRcbRd5N,1
